VAIXELLNOM,MMSI,IMO,P_Main,P_aux,P_GT,Fuel
ASUKA II,432545000,8806204,32800,5248,50444,MDO/MGO
ATHENA,319012000,1007237,1624,260,1206,MDO/MGO
AURORA,310556000,9169524,79900,12784,6072.109289,MDO/MGO
AZAMARA JOURNEY,538012045,9200940,13500,2160,3578.268123,MDO/MGO
AZAMARA ONWARD,229765000,9187887,13500,2160,3480.138325,MDO/MGO
AZAMARA PURSUIT,248762000,9210220,13500,2160,30277,MDO/MGO
AZAMARA QUEST,256216000,9210218,24880,6717.6,1044.082064,MDO/MGO
AZURA,310610000,9424883,67200,10752,11340.59937,MDO/MGO
BALMORAL,308785000,8506294,21315,3410.4,43537,MDO/MGO
BERLIN,311000998,7904889,2235.243148,357.6389037,2235.243148,MDO/MGO
BLACK WATCH,311166000,7108930,14000,2240,5944.675632,MDO/MGO
BOLETTE,311000986,9188037,31000,4960,62735,MDO/MGO
BOREALIS,311000987,9122552,57700,9232,6006.373337,MDO/MGO
BOUDICCA,309964000,7218395,14000,2240,3630.389156,MDO/MGO
BRAEMAR,311541000,9000699,13120,2099.2,24344,MDO/MGO
BRILLIANCE OF THE SEAS,311361000,9195200,20500,3280,475.3284952,MDO/MGO
BRILLIANT LADY,311001167,9870654,48000,7680,108232,MDO/MGO
BRITANNIA,235106595,9614036,75600,12096,10238.37841,MDO/MGO
CALEDONIAN SKY,311061100,8802870,3520,563.2,4200,MDO/MGO
CARIBBEAN PRINCESS,310423000,9215490,39840,6374.4,112894,MDO/MGO
CARNIVAL BREEZE,354842000,9555723,75600,12096,130000,MDO/MGO
CARNIVAL DESTINY,308017000,9070058,63360,10137.6,101400,MDO/MGO
CARNIVAL FREEDOM,371154000,9333149,75600,12096,110320,MDO/MGO
CARNIVAL GLORY,357659000,9198367,63400,10144,7580.980722,MDO/MGO
CARNIVAL HORIZON,370039000,9767091,62400,9984,133500,MDO/MGO
CARNIVAL LEGEND,311001094,9224726,62370,9979.2,6648.522925,MDO/MGO
CARNIVAL MAGIC,370491000,9378486,75600,12096,130000,MDO/MGO
CARNIVAL PRIDE,354215000,9223954,63370,10139.2,86071,MDO/MGO
CARNIVAL SPIRIT,311001095,9188647,62370,9979.2,85920,MDO/MGO
CARNIVAL SUNSHINE,308017000,9070058,63420,10147.2,103881,MDO/MGO
CARNIVAL VALOR,354298000,9236389,63360,10137.6,110438,MDO/MGO
CARNIVAL VENEZIA,311001253,9801689,62400,9984,135225,MDO/MGO
CARNIVAL VISTA,NaN,9692569,62400,9984,133596,MDO/MGO
CELEBRITY APEX,215105000,9838383,54960,8793.6,8416.930597,MDO/MGO
CELEBRITY ASCENT,256191000,9838400,8791.319177,1406.611068,8791.319177,MDO/MGO
CELEBRITY BEYOND,215808000,9838395,67200,10752,141420,MDO/MGO
CELEBRITY CONSTELLATION,249046000,9192399,50000,8000,13035.27314,MDO/MGO
CELEBRITY ECLIPSE,249666000,9404314,67200,10752,121878,MDO/MGO
CELEBRITY EDGE,248325000,9812705,67200,10752,122000,MDO/MGO
CELEBRITY EQUINOX,249667000,9372456,62400,9984,8064.934354,MDO/MGO
CELEBRITY INFINITY,249048000,9189421,50000,8000,6758.549812,MDO/MGO
CELEBRITY REFLECTION,229074000,9506459,75600,12096,14017.95224,MDO/MGO
CELEBRITY SILHOUETTE,248939000,9451094,41,6.56,8789.803897,MDO/MGO
CELESTYAL CRYSTAL,229001000,7827213,19124,3059.84,25611,MDO/MGO
CELESTYAL OLYMPIA,229051000,7927984,17060,2729.6,37584,MDO/MGO
CHRISTINA O,248383000,8963818,5742,918.72,189.0292475,MDO/MGO
CLIO,249596000,9159830,2970,475.2,5300.188064,MDO/MGO
CLUB MED 2,227194000,9007491,1774.954949,283.9927919,1774.954949,MDO/MGO
COLUMBUS 2,538001663,9156462,13500,2160,30277,LNG
CORAL PRINCESS,310376000,9229659,33600,5376,91627,MDO/MGO
CORINTHIAN,249556000,8708672,7771.103701,1243.376592,7771.103701,MDO/MGO
CORINTHIAN II,311000253,8802882,3520,563.2,4077,MDO/MGO
COSTA ATLANTICA,247645000,9187796,62370,9979.2,85700,MDO/MGO
COSTA CLASSICA,311000969,8716502,22000,3520,53000,MDO/MGO
COSTA CONCORDIA,247158500,9320544,76640,12262.4,"114.147",MDO/MGO
COSTA DELIZIOSA,247282900,9398917,64000,10240,6838.07827,MDO/MGO
COSTA DIADEMA,247353700,9636888,75600,12096,3818.922314,MDO/MGO
COSTA FASCINOSA,247313500,9479864,36000,5760,9510.129675,MDO/MGO
COSTA FAVOLOSA,247311100,9479852,75600,12096,11882.14337,MDO/MGO
COSTA FIRENZE,352003546,9801691,33000,5280,8597.462128,MDO/MGO
COSTA FORTUNA,247094800,9239783,63360,10137.6,7268.405155,MDO/MGO
COSTA LUMINOSA,247257900,9398905,64000,10240,3773.471466,MDO/MGO
COSTA MAGICA,247113300,9239795,64610,10337.6,5780.580006,MDO/MGO
COSTA MEDITERRANEA,247088200,9237345,35.2,5.632,6764.944361,MDO/MGO
COSTA NEOCLASSICA,311000969,8716502,21184,3389.44,53000,MDO/MGO
COSTA NEORIVIERA,247325300,9172777,31680,5068.8,48200,MDO/MGO
COSTA NEOROMANTICA,210038000,8821046,22800,3648,56500,MDO/MGO
COSTA PACIFICA,247258100,9378498,75600,12096,8796.483758,MDO/MGO
COSTA SERENA,247187600,9343132,75600,12096,114147,MDO/MGO
COSTA SMERALDA,247391900,9781889,37000,5920,10375.21755,LNG
COSTA TOSCANA,247431200,9781891,64000,10240,10375.21755,LNG
COSTA VICTORIA,247109000,9109031,50700,8112,75166,MDO/MGO
COSTA VOYAGER,636017800,9183506,37800,6048,24400,MDO/MGO
CROWN PRINCESS,310500000,9293399,1129.01557,180.6424912,1129.01557,MDO/MGO
CRYSTAL ESPRIT,311000506,8705266,3356,536.96,3370,MDO/MGO
CRYSTAL SERENITY,311536000,9243667,52197,8351.52,68870,MDO/MGO
CRYSTAL SYMPHONY,309168000,9066667,25260,4041.6,3520.689744,MDO/MGO
DANIELLE CASANOVA,226242000,9230476,37800,6048,43784,MDO/MGO
DAWN PRINCESS,232006603,9103996,46080,7372.8,77441,MDO/MGO
DELPHIN,311067500,7347536,13240,2118.4,2545,MDO/MGO
DEUTSCHLAND,311000410,9141807,12320,1971.2,22496,MDO/MGO
DISCOVERY,341683000,7108514,27150,4344,145281,BOTH
DISNEY DREAM,311042900,9434254,76800,12288,8373.055572,MDO/MGO
DISNEY FANTASY,311058700,9445590,76800,12288,129750,MDO/MGO
DISNEY MAGIC,308516000,9126807,43000,6880,7559.954364,MDO/MGO
EMERALD PRINCESS,310531000,9333151,67200,10752,113561,MDO/MGO
EMERALD SAKARA,311001261,9948827,1178.695403,188.5912645,1178.695403,MDO/MGO
ENCHANTED PRINCESS,310791000,9807126,62400,9984,145281,MDO/MGO
ENCHANTMENT OF THE SEAS,311733000,9111802,12600,2016,82910,MDO/MGO
EURODAM,245206000,9378448,64000,10240,86273,MDO/MGO
EUROPA,215767000,9183855,4861.695582,777.8712931,4861.695582,MDO/MGO
EUROPA 2,229378000,9616230,8654.345607,1384.695297,8654.345607,MDO/MGO
EVRIMA,215001000,9823687,15000,2400,3211.247593,MDO/MGO
EXPLORA I,256389000,9869875,5462.163234,873.9461174,5462.163234,MDO/MGO
EXPLORA II,256798000,9869887,5462.163234,873.9461174,5462.163234,MDO/MGO
EXPLORER,636020005,9183518,29250,4680,8228,BOTH
EXPLORER OF THE SEAS,311316000,9161728,42000,6720,8666.512086,MDO/MGO
FREEDOM OF THE SEAS,309906000,9304033,75600,12096,10053.75851,MDO/MGO
FTI BERLIN,311000998,7904889,7060,1129.6,9570,BOTH
GOLDEN IRIS,371771000,7358573,15447,2471.52,16900,MDO/MGO
GRAND CELEBRATION,311000328,8314134,23510,3761.6,47262,LNG
GRAND HOLIDAY,311000343,8217881,23518,3762.88,47262,MDO/MGO
GRAND PRINCESS,310327000,9104005,70000,11200,107517,MDO/MGO
GRANDEUR OF THE SEAS,311315000,9102978,50400,8064,73817,MDO/MGO
HAMBURG,309908000,9138329,10560,1689.6,1586.769888,MDO/MGO
HANSEATIC,255806208,9000168,5880,940.8,8378,MDO/MGO
HANSEATIC NATURE,215768000,9817133,11200,1792,2336.958816,MDO/MGO
HARMONY G,239780000,8984989,1001,160.16,498,MDO/MGO
HARMONY OF THE SEAS,311000396,9682875,97000,15520,226963,MDO/MGO
HEBRIDEAN SKY,311000253,8802882,7210.510961,1153.681754,7210.510961,MDO/MGO
HORIZON,NaN,8807088,19980,3196.8,133596,BOTH
ILMA,256343000,9967586,19400,3104,11060.67934,MDO/MGO
INDEPENDENCE OF SEAS,309374000,9349681,75000,12000,155889,MDO/MGO
INDEPENDENCE OF THE SEAS,309906000,9304033,12600,2016,3841.161362,MDO/MGO
INSIGNIA,538001663,9156462,13500,2160,4605.920135,MDO/MGO
IONA,232025845,9826548,37000,5920,10364.72248,LNG
ISLAND ESCAPE,341929000,8002597,19850,3176,40171,MDO/MGO
ISLAND PRINCESS,310384000,9230402,62700,10032,6842.617095,MDO/MGO
ISLAND SKY,311743000,8802894,2606.27961,417.0047376,2606.27961,MDO/MGO
JAUME I,209873000,9081693,20000,3200,3989,MDO/MGO
JEWEL OF THE SEAS,311583000,9228356,9281.043159,1484.966905,9281.043159,MDO/MGO
KONINGSDAM,244830547,9692557,50400,8064,1777.648569,MDO/MGO
KRISTINA KATARINA,311000419,7625811,12779,2044.64,12825,MDO/MGO
LA BELLE DE L`ADRIAT,205481000,9432799,2460,393.6,2995,MDO/MGO
LA BELLE DES OCEANS,205788000,8800195,596.7877555,95.48604089,596.7877555,MDO/MGO
L'AUSTRAL,578000700,9502518,6400,1024,10944,MDO/MGO
LE BOUGAINVILLE,578001300,9814040,6400,1024,9988,MDO/MGO
LE CHAMPLAIN,578001100,9814038,6400,1024,9976,MDO/MGO
LE DUMONT D'URVILLE,578001200,9814052,6400,1024,1780.799884,MDO/MGO
LE JACQUES CARTIER,578001400,9852420,6400,1024,9988,MDO/MGO
LE LAPEROUSE,578000900,9814026,6400,1024,9976,MDO/MGO
LE LYRIAL,578000800,9704130,7030.144874,1124.82318,7030.144874,MDO/MGO
LE PONANT,227186000,8914219,1600,256,3670.592769,MDO/MGO
LE SOLEAL,578000200,9641675,4600,736,10992,MDO/MGO
LEGEND OF THE SEAS,311378000,9070620,58500,9360,6496.129074,MDO/MGO
LIBERTY OF THE SEAS,309436000,9330032,78000,12480,154.407,MDO/MGO
LOUIS AURA,215467000,6821080,12784,2045.44,15781,MDO/MGO
LOUIS CRISTAL,229001000,7827213,19200,3072,25611,MDO/MGO
LUMINARA,249161000,9967598,19135,3061.6,48072,LNG
MAASDAM,310805000,8919257,22500,3600,55575,MDO/MGO
MAGELLAN,311000343,8217881,3440,550.4,5258,MDO/MGO
MAJESTIC PRINCESS,232002990,9614141,36000,5760,5330.58023,MDO/MGO
MARDI GRAS,311001049,9837444,62370,9979.2,181808,LNG
MARELLA CELEBRATION,NaN,8027298,21600,3456,33933,LNG
MARELLA DISCOVERY,249639000,9070632,72000,11520,69300,MDO/MGO
MARELLA DISCOVERY 2,311378000,9070620,57500,9200,6496.129074,MDO/MGO
MARELLA DREAM,NaN,8407735,23800,3808,54763,MDO/MGO
MARELLA EXPLORER,249051000,9106297,30000,4800,76998,MDO/MGO
MARELLA EXPLORER 2,249054000,9072446,29250,4680,6496.129074,MDO/MGO
MARELLA SPIRIT,248368000,8024014,22400,3584,33930,MDO/MGO
MARELLA VOYAGER,249053000,9106302,31500,5040,6496.129074,MDO/MGO
MARINA,538003668,9438066,42000,6720,4890.942031,MDO/MGO
MARINA,538003668,9438066,66000,10560,5574.077946,MDO/MGO
MARINER OF THE SEAS,271043540,8515661,75600,12096,139863,MDO/MGO
MEIN SCHIFF 1,248513000,9783564,27150,4344,8774.139335,MDO/MGO
MEIN SCHIFF 2,248956000,9783576,8160.502322,1305.680371,8160.502322,MDO/MGO
MEIN SCHIFF 3,229090000,9641730,11066.76485,1770.682377,11066.76485,MDO/MGO
MEIN SCHIFF 4,229678000,9678408,4902.212311,784.3539698,4902.212311,MDO/MGO
MEIN SCHIFF 5,256235000,9753193,45200,7232,3638.687117,MDO/MGO
MEIN SCHIFF 6,249660000,9753208,28000,4480,98811,MDO/MGO
MEIN SCHIFF 7,256750000,9851189,48000,7680,112982,MDO/MGO
MEIN SCHIFF HERZ,249053000,9106302,37130,5940.8,77302,MDO/MGO
MEIN SCHIFF RELAX,249129000,9862657,60000,9600,157651,BOTH
MINERVA,538009388,9320142,6920,1107.2,12892,LNG
MSC ARMONIA,357281000,9210141,31680,5068.8,11882.14337,MDO/MGO
MSC BELLISSIMA,248992000,9760524,38400,6144,171598,MDO/MGO
MSC DIVINA,373178000,9585285,40000,6400,8733.535017,MDO/MGO
MSC FANTASIA,370648000,9359791,40000,6400,3770.172701,MDO/MGO
MSC GRANDIOSA,215325000,9803613,40000,6400,10257.37309,MDO/MGO
MSC LIRICA,356042000,9246102,30600,4896,5548.944908,MDO/MGO
MSC MAGNIFICA,352594000,9387085,290000,46400,1750.869997,MDO/MGO
MSC MERAVIGLIA,249973000,9760512,488.5377657,78.16604252,488.5377657,MDO/MGO
MSC MUSICA,352003000,9320087,58000,9280,6824.227068,MDO/MGO
MSC OPERA,357627000,9250464,31680,5069,65591,MDO/MGO
MSC ORCHESTRA,372497000,9320099,58500,9360,187.9830662,MDO/MGO
MSC POESIA,355931000,9387073,58000,9280,405.7291081,MDO/MGO
MSC PREZIOSA,NaN,9595321,40000,6400,6496.129074,MDO/MGO
MSC SEASCAPE,256059000,9843807,65000,10400,170412,MDO/MGO
MSC SEASHORE,247435200,9843792,62400,9984,170412,MDO/MGO
MSC SEASIDE,248392000,9745366,62400,9984,4053.796841,MDO/MGO
MSC SEAVIEW,248717000,9745378,62400,9984,9270.189928,MDO/MGO
MSC SINFONIA,356716000,9210153,31680,5069,65542,MDO/MGO
MSC SPLENDIDA,357698000,9359806,40000,6400,9302.91844,MDO/MGO
MSC VIRTUOSA,215610000,9803625,40000,6400,10257.37309,MDO/MGO
MSC WORLD EUROPA,256070000,9837420,11387.31818,1821.970908,11387.31818,LNG
NATIONAL GEOGRAPHIC EXPLORER,309336000,8019356,4700,752,727.8057312,MDO/MGO
NATIONAL GEOGRAPHIC ORION,311603000,9273076,2400,384,3984,MDO/MGO
NAUTICA,538001665,9200938,13500,2160,10357.72282,MDO/MGO
NAVIGATOR OF THE SEA,311478000,9227508,75600,12096,10118.24243,MDO/MGO
NIEUW AMSTERDAM,246648000,9378450,64000,10240,86273,MDO/MGO
NIEUW STATENDAM,244140580,9767106,50400,8064,7152.995075,MDO/MGO
NOORDAM,246028000,9230115,51840,8294,82897,MDO/MGO
NORWEGIAN BLISS,311000710,9751509,76800,12288,168028,MDO/MGO
NORWEGIAN BREAKAWAY,311050800,9606912,62400,9984,145655,BOTH
NORWEGIAN DAWN,311307000,9195169,58800,9408,6817.138446,MDO/MGO
NORWEGIAN EPIC,311018500,9410569,34200,5472,10841.73104,MDO/MGO
NORWEGIAN ESCAPE,311000341,9677076,76800,12288,9688.258935,MDO/MGO
NORWEGIAN GEM,309951000,9355733,72000,11520,93530,MDO/MGO
NORWEGIAN GETAWAY,311050900,9606924,67200,10752,8980.732986,MDO/MGO
NORWEGIAN JADE,308416000,9304057,72000,11520,93558,MDO/MGO
NORWEGIAN JEWEL,311827000,9304045,72000,11520,93502,MDO/MGO
NORWEGIAN PEARL,309653000,9342281,72000,11520,6874.067552,MDO/MGO
NORWEGIAN PRIMA,311001059,9823986,8862.825068,1418.052011,8862.825068,LNG
NORWEGIAN SKY,308865000,9128532,50700,8112,6117.807694,MDO/MGO
NORWEGIAN SPIRIT,311746000,9141065,58800,9408,11053.01881,MDO/MGO
NORWEGIAN STAR,311082000,9195157,58800,9408,4109.981553,MDO/MGO
NORWEGIAN VIVA,311001127,9823998,8862.825068,1418.052011,8862.825068,LNG
OASIS OF THE SEAS,311020600,9383936,96000,15360,11733.279,MDO/MGO
OCEAN ADVENTURER,309997000,7391422,12800,2048,4614,MDO/MGO
OCEAN COUNTESS,255724000,7358561,15644,2503,16795,MDO/MGO
OCEAN DREAM,373297000,7915096,1381.847164,221.0955463,1381.847164,MDO/MGO
OCEAN MAJESTY,255717000,6602898,12016,1922.56,3975.77487,MDO/MGO
OCEAN NOVA,309051000,8913916,15700,2512,502.7871565,MDO/MGO
OCEAN PRINCESS,538006842,9187899,13500,2160,30277,MDO/MGO
OCEANA,310473000,9169550,8668.347657,1386.935625,8668.347657,MDO/MGO
ODYSSEY OF THE SEAS,311000912,9795737,67200,10752,7135.610502,MDO/MGO
OOSTERDAM,245417000,9221281,35240,5638.4,7705.090559,MDO/MGO
ORIANA,310529000,9050137,59656,9544.96,4855.265435,MDO/MGO
OVATION OF THE SEAS,311000397,9697753,67200,10752,167800,MDO/MGO
PACIFIC PRINCESS,310504000,9187887,13500,2160,4076.045217,MDO/MGO
PACIFIC WORLD,357189000,9000259,28000,4480,77441,MDO/MGO
PRINCESS DANAE,255987000,5282483,9708,1553,16531,MDO/MGO
PRINSENDAM,311000840,8700280,21120,3379.2,6814.111561,MDO/MGO
QUANTUM OF THE SEAS,311000267,9549463,67200,10752,168666,MDO/MGO
QUEEN ANNE,310835000,9839399,50400,8064,7663.867426,MDO/MGO
QUEEN ELIZABETH,310625000,9477438,64000,10240,91000,MDO/MGO
QUEEN MARY 2,310627000,9241061,117075,18732,149215,MDO/MGO
QUEEN VICTORIA,310624000,9320556,63400,10144,12258.07361,MDO/MGO
QUEST FOR ADVENTURE,256878000,8000214,1470,235,2920,LNG
REGAL PRINCESS,310674000,9584724,14400,2304,142714,MDO/MGO
RENAISSANCE,310805000,8919257,34560,5529.6,3100.210751,MDO/MGO
RESILIENT LADY,311001056,9805348,48000,7680,7705.090559,MDO/MGO
RHAPSODY OF THE SEAS,311805000,9116864,13034.26033,2085.481653,13034.26033,MDO/MGO
RIVIERA,NaN,9438078,42000,6720,10255.74785,MDO/MGO
RIVIERA,NaN,9438078,42000,6720,7505.535427,MDO/MGO
ROTTERDAM,311000987,9477438,50400,8064,7303.152481,MDO/MGO
ROYAL CLIPPER,215813000,8712178,3730,596.8,3770.172701,MDO/MGO
ROYAL PRINCESS,310661000,9584712,62400,9984,267.1855712,MDO/MGO
RUBY PRINCESS,310567000,9378462,25000,4000,113561,MDO/MGO
RYNDAM,NaN,8919269,34560,5530,99500,MDO/MGO
SAGA PEARL II,256878000,8000214,1816.859705,290.6975528,1816.859705,MDO/MGO
SAGA RUBY,311000198,7214715,17650,2824,24492,MDO/MGO
SAGA SAPPHIRE,311000978,7822457,21270,3403.2,488.5377657,MDO/MGO
SAPPHIRE PRINCESS,235103357,9228186,35700,5712,115875,MDO/MGO
SCARLET LADY,311000995,9804801,32000,5120,6067.295926,LNG
SCENIC ECLIPSE,215855000,9797371,7580.980722,1212.956916,7580.980722,MDO/MGO
SCENIC ECLIPSE II,238269640,9850460,11520,1843,17592,MDO/MGO
SEA CLOUD,256084000,8843446,2200,352,2532,MDO/MGO
SEA CLOUD II,248953000,9171292,2480,396.8,791.1652299,MDO/MGO
SEA CLOUD SPIRIT,311000585,9483712,8919.346818,1427.095491,8919.346818,MDO/MGO
SEA PRINCESS,636020325,9150913,46080,7373,77499,MDO/MGO
SEABOURN ENCORE,311000464,9731171,23040,3686.4,647.7630566,MDO/MGO
SEABOURN LEGEND,311085000,9008598,7280,1165,9961,MDO/MGO
SEABOURN ODYSSEY,311000464,9417086,23040,3686.4,1381.847164,MDO/MGO
SEABOURN OVATION,311027100,9764958,23040,3686.4,8956.338438,MDO/MGO
SEABOURN PRIDE,311084000,8707343,7375,1180,12995,MDO/MGO
SEABOURN PURSUIT,311001081,9862035,23000,3680,23615,MDO/MGO
SEABOURN QUEST,311038900,9483126,23040,3686.4,8078.930469,MDO/MGO
SEABOURN SOJOURN,311492000,9417098,5284.816876,845.5707001,5284.816876,MDO/MGO
SEABOURN SPIRIT,311083000,8807997,7280,1165,9975,MDO/MGO
SEABOURN VENTURE,311000930,9862023,12000,1920,23000,MDO/MGO
SEADREAM I,308908000,8203438,12157.48387,1945.197419,12157.48387,MDO/MGO
SEADREAM II,308311000,8203440,879.255661,140.6809058,879.255661,MDO/MGO
SERENADE OF THE SEAS,311492000,9228344,58000,9280,5036.074721,MDO/MGO
SERENISSIMA,376439000,5142657,2538,406.08,2949.44216,MDO/MGO
SEVEN SEAS EXPLORER,538006712,9703150,32000,5120,10314.7608,MDO/MGO
SEVEN SEAS GRANDEUR,538010706,9877444,5014.277889,802.2844622,5014.277889,MDO/MGO
SEVEN SEAS MARINER,311622000,9210139,31680,5068.8,4166.011777,MDO/MGO
SEVEN SEAS NAVIGATOR,311050600,9064126,12289.43742,1966.309987,12289.43742,MDO/MGO
SEVEN SEAS SPLENDOR,538007673,9807085,32000,5120,4166.011777,MDO/MGO
SEVEN SEAS VOYAGER,311513000,9247144,23040,3686.4,11560.09701,MDO/MGO
SILVER CLOUD,309027000,8903923,14000,2240,313.7024188,MDO/MGO
SILVER DAWN,311001044,9857937,32000,5120,4166.011777,MDO/MGO
SILVER EXPLORER,311562000,8806747,4500,720,6072,MDO/MGO
SILVER MOON,311000719,9838618,17000,2720,8791.319177,MDO/MGO
SILVER MUSE,311000637,9784350,17000,2720,736.8750396,MDO/MGO
SILVER NOVA,311001189,9886213,26100,4176,54700,LNG
SILVER RAY,311001496,9886225,4000,640,8791.319177,LNG
SILVER SHADOW,308628000,9192167,15700,2512,28258,MDO/MGO
SILVER SPIRIT,311022500,9437866,17000,2720,4325.380954,MDO/MGO
SILVER WHISPER,308322000,9192179,11700,1872,502.7871565,MDO/MGO
SILVER WIND,308814000,8903935,11.7,1.872,9228.686945,MDO/MGO
SIRENA,538006842,9187899,13500,2160,5872.733424,MDO/MGO
SKY PRINCESS,310780000,9802396,62400,9984,1283.730031,MDO/MGO
SOVEREIGN,249539000,8512281,21844,3495.04,4838.133994,MDO/MGO
SPECTRUM OF THE SEAS,311000749,9778856,67200,10752,169379,MDO/MGO
SPIRIT OF ADVENTURE,232026551,9818084,21600,3456,9788.565659,MDO/MGO
SPIRIT OF DISCOVERY,232021171,9802683,21600,3456,5016.678585,MDO/MGO
SPLENDOUR OF THE SEAS,249639000,9070632,11700,1872,69130,MDO/MGO
STAD AMSTERDAM,246494000,9185554,756,120.96,723,MDO/MGO
STAR BREEZE,311083000,8807997,7280,1164.8,3770.172701,MDO/MGO
STAR CLIPPER,248786000,8915445,1500,240,2298,MDO/MGO
STAR FLYER,248785000,8915433,1014,162.24,2298,MDO/MGO
STAR LEGEND,311085000,9008598,7280,1164.8,10898.23527,MDO/MGO
STAR PRIDE,311084000,8707343,7280,1164.8,9309.900938,MDO/MGO
STAR PRINCESS,310869000,9863120,8640,1382.4,177882,LNG
SUN PRINCESS,310841000,9863118,5025.184069,804.0294511,5025.184069,MDO/MGO
SYLVIA EARLE,311000867,9872327,4321,691.36,8076,MDO/MGO
SYMPHONY OF THE SEAS,311000660,9744001,97020,15523.2,228081,MDO/MGO
TANIT,672748000,9598579,6496.129074,1039.380652,6496.129074,MDO/MGO
TERE MOANA,249596000,9159830,2970,475.2,3504,MDO/MGO
THE WORLD,311213000,9219331,2000,320,43188,LNG
THOMSON CELEBRATION,NaN,8027298,21600,3456,7210.510961,MDO/MGO
THOMSON DREAM,NaN,8407735,9032,1445.12,5330.58023,MDO/MGO
THOMSON MAJESTY,370610000,8814744,21120,3379.2,3770.172701,MDO/MGO
THOMSON SPIRIT,248368000,8024014,22400,3584,33930,MDO/MGO
TUI DISCOVERY,249639000,9070632,58500,9360,13059.44637,MDO/MGO
TUI DISCOVERY 2,311378000,9070620,58500,9360,5730.944087,MDO/MGO
VALIANT LADY,311000983,9805336,48000,7680,110000,MDO/MGO
VARIETY VOYAGER,538008158,9657090,4818.369524,770.9391239,4818.369524,MDO/MGO
VASCO DA GAMA,255806445,8919245,24000,3840,55451,MDO/MGO
VEENDAM,310801000,9102992,17300,2768,11956.14786,MDO/MGO
VENTURA,310562000,9333175,7049.095426,1127.855268,7049.095426,MDO/MGO
VIKING JUPITER,257058920,9796262,23520,3763.2,4166.011777,MDO/MGO
VIKING MARS,257800000,9833187,23520,3763.2,8791.319177,MDO/MGO
VIKING NEPTUNE,257850000,9845910,48000,7680,110000,MDO/MGO
VIKING ORION,257034130,9796250,23520,3763.2,47842,MDO/MGO
VIKING SATURN,258024000,9845922,23520,3763.2,7580.980722,MDO/MGO
VIKING SEA,258215000,9725421,23520,3763.2,2903.163862,MDO/MGO
VIKING SKY,259186000,9650420,23520,3763.2,20.51783096,MDO/MGO
VIKING STAR,257903000,9650418,23520,3763.2,12884.78375,MDO/MGO
VIKING SUN,257179000,9725433,23520,3763.2,10423.21506,MDO/MGO
VIKING VELA,257526000,9852432,23520,3763.2,1288.399555,MDO/MGO
VIKING VENUS,257552000,9833175,23520,3763.2,2471.058241,MDO/MGO
VIKING VESTA,257944000,9852444,23520,3763.2,53769,MDO/MGO
VISION OF THE SEAS,311321000,9116876,50400,8064,6807.250619,MDO/MGO
VISTA,538009952,110,10296.84369,1647.494991,10296.84369,MDO/MGO
VOLENDAM,245968000,9156515,41500,6640,61214,MDO/MGO
VOYAGER,309695000,8709573,13410,2145.6,15595,MDO/MGO
VOYAGER OF THE SEAS,311317000,9161716,75600,12096,12173.83472,MDO/MGO
WESTERDAM,244128000,9226891,8606.944455,1377.111113,8606.944455,MDO/MGO
